CL,D,E,I_A,I_S,K_stock,R,S,T,V,X_0_mayer,X_vac,action,loss,opt_policy,t_index_interval,time
0.9999999999999999,0.00190074,0.00067033,0.00120986,9.283e-5,0.0037812279802551837,0.532520194,0.463606046,-70.0,0.0,0.0,0.0,4.640607721805885e-5,0.0,0.0,1.0,0.0
1.0,0.0019008813002362812,0.0006740424678744888,0.0011973693751327677,9.391529236004765e-5,0.0037812279802551837,0.5316730620617133,0.4644607295026832,-70.25301955244468,0.0,0.0,0.0,4.640607721805885e-5,0.0,0.0,1.0,0.16032064128256512
1.0,0.0019010242293946663,0.0006775078088307388,0.0011852668391402802,9.499795647749367e-5,0.0037805432101426,0.5308270401738986,0.4653141629922583,-69.49690643661975,0.0,0.0006695308611567896,0.0,4.640607721805885e-5,6.847701125840753e-7,0.0,1.0,0.32064128256513025
1.0000000000000002,0.0019011687823506807,0.0006807387386263303,0.0011735371832614144,9.607721460968236e-5,0.0037812279802551837,0.5299821356999778,0.46616634238117427,-70.0860184281873,0.0,0.0019630116153527555,0.0,4.640607721805885e-5,0.0,0.0,1.0,0.48096192384769537
1.0000000000000002,0.0019013149528887446,0.000683747375329367,0.0011621658676299808,9.715234155270582e-5,0.0037812279802551837,0.5291383556223029,0.4670172638402964,-71.62915631739129,0.0,0.0038401919632102864,0.0,4.640607721805885e-5,0.0,0.0,1.0,0.6412825651302605
1.0000000000000002,0.0019014627337771756,0.0006865452666814898,0.0011511389909273164,9.822266195360897e-5,0.0037811348946843984,0.5282957065592062,0.46786692378745437,-69.93161633890158,0.0,0.006259969631985906,0.0,4.640607721805885e-5,9.30855707852282e-8,0.0,1.0,0.8016032064128256
1.0000000000000002,0.0019016121168393399,0.0006891434162292664,0.0011404432614180867,9.928754774953183e-5,0.0037800161518942465,0.5274541947812728,0.46871531887649115,-69.10959817060666,0.0,0.00918419978691988,0.0,4.640607721805885e-5,1.2118283609372974e-6,0.0,1.0,0.9619238476953907
1.0000000000000002,0.0019017630930211313,0.0006915523082786179,0.0011300659693066007,0.00010034641572799264,0.003780613969458662,0.5266138262268729,0.469562445986793,-69.5487521701967,0.0,0.012575343180069806,0.0,4.640607721805885e-5,6.140107965215754e-7,0.0,1.0,1.122244488977956
1.0000000000000002,0.0019019156524549543,0.0006937819317245518,0.00111999496035376,0.0001013987252027748,0.0037812279802551837,0.5257746065169863,0.470408302213278,-70.50849320049558,0.0,0.016401805911146986,0.0,4.640607721805885e-5,0.0,0.0,1.0,1.282565130260521
1.0000000000000004,0.0019020697845203763,0.000695841802806176,0.0011102186106974506,0.00010244397580012847,0.003779923428069764,0.5249365409693517,0.4712528848568246,-69.04148034846176,0.0,0.020631281444451453,0.0,4.640607721805885e-5,1.3045521854199598e-6,0.0,1.0,1.4428857715430863
1.0000000000000004,0.0019022254779016068,0.000697740986834784,0.0011007258028217564,0.0001034817053502353,0.003780750469736901,0.5240996346119726,0.47209619141511944,-69.6490664637591,0.0,0.025230318808170126,0.0,4.640607721805885e-5,4.775105182825453e-7,0.0,1.0,1.6032064128256511
1.0000000000000007,0.0019023827206419565,0.0006994881189406956,0.0010915059026228335,0.00010451148787911111,0.0037812279802551837,0.5232638921960079,0.4729382195739081,-70.52339863868735,0.0,0.030173090336757663,0.0,4.640607721805885e-5,0.0,0.0,1.0,1.7635270541082164
1.0000000000000004,0.001902541500195418,0.0007010914238825399,0.0010825487375216228,0.00010553293169633806,0.0037812279802551837,0.5224293182080755,0.4737789671986291,-70.30673053100905,0.0,0.035431657183417314,0.0,4.640607721805885e-5,0.0,0.0,1.0,1.9238476953907815
1.0000000000000004,0.0019027018034755087,0.0007025587349607452,0.0010738445755758333,0.00010654567757422522,0.0037812279802551837,0.5215959168819976,0.4746184323264166,-70.59201245152289,0.0,0.04097937458294411,0.0,4.640607721805885e-5,0.0,0.0,1.0,2.0841683366733466
1.0000000000000004,0.0019028636169015028,0.0007038975120751636,0.0010653841055457578,0.00010754939701419403,0.0037812279802551837,0.5207636922100101,0.47545661315845383,-71.15660605408775,0.0,0.04679171650798574,0.0,4.640607721805885e-5,0.0,0.0,1.0,2.244488977955912
1.0000000000000007,0.0019030269264421827,0.0007051148589650051,0.0010571584178705397,0.00010854379059637458,0.003780928507412163,0.5199326479534634,0.47629350805266313,-69.77999159097467,0.0,0.05284550229856843,0.0,4.640607721805885e-5,2.994728430210273e-7,0.0,1.0,2.4048096192384767
1.0000000000000007,0.0019031917176572254,0.0007062175396675746,0.0010491589865134615,0.00010952858640857907,0.003781139386104342,0.5191027876530364,0.47712911551671744,-69.93491076431594,0.0,0.05911838964054663,0.0,4.640607721805885e-5,8.859415084181812e-8,0.0,1.0,2.565130260521042
1.0000000000000007,0.001903357975736339,0.000707211994230699,0.0010413776516366958,0.00011050353855099234,0.0037809034172156483,0.5182741146384865,0.47796343420135956,-69.76155264252462,0.0,0.06559045346636884,0.0,4.640607721805885e-5,3.2456303953557274e-7,0.0,1.0,2.7254509018036073
1.0000000000000007,0.0019035256855362594,0.000708104353712195,0.0010338066030677424,0.00011146842571308346,0.0037812279802551837,0.5174466320379563,0.4787964628940152,-70.13563467837311,0.0,0.07224151487069856,0.0,4.640607721805885e-5,0.0,0.0,1.0,2.8857715430861726
1.0000000000000009,0.0019036948316157078,0.0007089004544982588,0.001026438364521484,0.00011242304981940091,0.003780931599249431,0.5166203427868586,0.47962820051268723,-69.78226310532031,0.0,0.07905399013664262,0.0,4.640607721805885e-5,2.9638100575276824e-7,0.0,1.0,3.046092184368738
